gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,vote_error,tp,tn
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.7734375
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.765625
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.765625
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.7578125
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.7578125
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.75
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.75
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.734375
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.734375
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.71875
4,300,128,20,103,0,tardos,0.25,0.012264365205541677,1.0,0.7109375
4,300,128,20,103,0,hash,0.25,0.012179550142422158,1.0,0.6015625
4,300,128,20,103,0,hash,0.25,0.012179550142422158,1.0,0.5859375
4,300,128,20,103,0,hash,0.25,0.012179550142422158,1.0,0.5625
4,300,128,20,103,0,hash,0.25,0.012179550142422158,1.0,0.5546875
4,300,128,20,103,0,hash,0.25,0.012179550142422158,1.0,0.546875
4,300,128,20,103,0,hash,0.25,0.012179550142422158,1.0,0.546875
4,300,128,20,103,0,hash,0.25,0.012179550142422158,1.0,0.5390625
4,300,128,20,103,0,hash,0.25,0.012179550142422158,1.0,0.53125
4,300,128,20,103,0,hash,0.25,0.012179550142422158,1.0,0.5234375
4,300,128,20,103,0,hash,0.25,0.012179550142422158,1.0,0.515625
