gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std,hellinger_distance,kl_divergence,emd,ks,p_value
8,300,256,20,101,0,tardos,0.125,0,capital-loss,0.0016433025938262275,0.03571468620132092,0.02030638860998428,0.0016061792559498489,7.158226098707076,0.004115352722582233,0.9445217162454744
8,300,256,20,101,0,tardos,0.125,0,hours-per-week,0.00012378650056502015,0.003590892557775462,0.0031018696215213085,3.843627203947092e-05,0.04867786615890181,0.0024876385860385375,0.9999582578100557
8,300,256,20,102,0,tardos,0.125,0,age,0.00016113065761083888,7.998821968047404e-05,0.0009409336198019976,3.540072983173453e-06,0.01452658087896569,0.0008292128620128181,1.0
8,300,256,20,102,0,tardos,0.125,0,fnlwgt,9.213636850407865e-05,0.002542731523009107,0.0015988177334225547,1.0033311846466e-05,213.33838027087887,0.0011056171493505351,1.0
8,300,256,20,102,0,tardos,0.125,0,education-num,1.4332074158218689e-05,0.00017667583656129628,0.00029389429299779915,3.4599886703419733e-07,0.000214981112373701,6.14231749639137e-05,1.0
8,300,256,20,102,0,tardos,0.125,0,capital-gain,0.0015923604461928352,0.089528215170124,0.03851828363304631,0.005733860247559479,159.23445225883398,0.005282393046896594,0.751865245748258
8,300,256,20,102,0,tardos,0.125,0,capital-loss,0.0018878601776156296,0.04229973130473989,0.02286533714440997,0.002034327038327511,8.223518933693663,0.004606738122293508,0.8783936485130853
8,300,256,20,102,0,tardos,0.125,0,hours-per-week,0.00021936848201398637,0.0037366967688145574,0.003187212925310551,4.059717701323736e-05,0.046067381222934994,0.0027640428733761435,0.999625173425962
8,300,256,20,103,0,tardos,0.125,0,age,0.00032436484861084533,0.0005724599441688904,0.001327784367953799,7.050722191895085e-06,0.027425447621387565,0.0016584257240256917,0.9999999999822512
8,300,256,20,103,0,tardos,0.125,0,fnlwgt,0.00012637915655213072,0.0030300875300663228,0.0020295577701373575,1.6243786267249927e-05,257.5709898344666,0.0014741561991339358,0.9999999999999848
8,300,256,20,103,0,tardos,0.125,0,education-num,3.8901344143837945e-05,0.0002972794513236911,0.00026809711675579776,2.88035929755301e-07,0.0005835201621573641,6.142317496392324e-05,1.0
8,300,256,20,103,0,tardos,0.125,0,capital-gain,0.001593556060249648,0.08738459451937186,0.0373743988252391,0.005409446219058862,159.35401246890407,0.005435950984306381,0.719722851227038
8,300,256,20,103,0,tardos,0.125,0,capital-loss,0.0016124147460855353,0.03663394456337002,0.020060279589932586,0.0015716191173411902,7.023678633948522,0.0038696600227265954,0.9670291197894874
8,300,256,20,103,0,tardos,0.125,0,hours-per-week,0.0003556903244084041,0.003469770979198526,0.003241541590560902,4.196225129662423e-05,0.0499063296581804,0.002825466048340053,0.9994407842309015
8,300,256,20,104,0,tardos,0.125,0,age,0.00038410519686337937,7.252886322797571e-05,0.001035436660178399,4.288316725680484e-06,0.02803967937102666,0.0011363287368324482,1.0
8,300,256,20,104,0,tardos,0.125,0,fnlwgt,1.7869754578270735e-05,0.0016571822943924027,0.0013587828063392408,7.3581711647885116e-06,143.12828230091375,0.0008599244494948005,1.0
8,300,256,20,104,0,tardos,0.125,0,education-num,1.2284634992809629e-05,0.00014148275838711058,0.00015629782225106542,9.777994989714246e-08,0.0001842695248917437,3.071158748196856e-05,1.0
8,300,256,20,104,0,tardos,0.125,0,capital-gain,0.0018584160535257282,0.10402980114285754,0.0444973200455983,0.007628687397143473,185.8397469365168,0.006326587021283192,0.530326289411909
8,300,256,20,104,0,tardos,0.125,0,capital-loss,0.0016585244297705676,0.034649246118349394,0.020009673500150513,0.0015603112874271936,7.224532416080602,0.004238199072509996,0.9305627955129332
8,300,256,20,104,0,tardos,0.125,0,hours-per-week,6.016964078096338e-05,0.0033340225594047945,0.0027798624671483254,3.0862964459795105e-05,0.04348760787445089,0.0019348300113632977,0.9999999798554688
