gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std
2,300,256,20,102,0,0.5,0,Vertical_Distance_To_Hydrology,0.0006486190476190501,0.009021755058086363
2,300,256,20,102,0,0.5,0,Horizontal_Distance_To_Roadways,0.00017903611072085033,0.0019336825516781731
2,300,256,20,102,0,0.5,0,Hillshade_9am,0.00010236220472445063,0.0012017423606587813
2,300,256,20,102,0,0.5,0,Hillshade_Noon,0.00022924731182804922,0.00267661981359455
2,300,256,20,102,0,0.5,0,Hillshade_3pm,6.236559139785692e-05,0.0016935498837425524
2,300,256,20,102,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0015540202639896244,6.215088488000447e-05
2,300,256,20,102,0,0.5,0,Cover_Type,0.005266666666666679,0.00014554629606466213
2,300,256,20,103,0,0.5,0,Id,0.0,0.0
2,300,256,20,103,0,0.5,0,Elevation,0.0008211480362537302,0.002189105139344093
2,300,256,20,103,0,0.5,0,Aspect,0.00026407407407407705,2.987937702632152e-05
2,300,256,20,103,0,0.5,0,Slope,1.147540983606795e-05,7.905039888261739e-05
2,300,256,20,103,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0019728468602630855,0.00504212683266314
2,300,256,20,103,0,0.5,0,Vertical_Distance_To_Hydrology,0.0006936666666666623,0.011536305741057084
2,300,256,20,103,0,0.5,0,Horizontal_Distance_To_Roadways,0.0008517212308557259,0.0034360471601794116
2,300,256,20,103,0,0.5,0,Hillshade_9am,0.0001089238845144709,0.002729553147977448
2,300,256,20,103,0,0.5,0,Hillshade_Noon,0.0003470967741935188,0.00474677297789684
2,300,256,20,103,0,0.5,0,Hillshade_3pm,2.983870967749307e-05,0.0006324821525128873
2,300,256,20,103,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002038928388865698,0.00038026449115774854
2,300,256,20,103,0,0.5,0,Cover_Type,0.004483333333333321,0.0005421531734941107
2,300,256,20,104,0,0.5,0,Id,0.0,0.0
2,300,256,20,104,0,0.5,0,Elevation,0.0005811849613963722,0.0025861190311876688
2,300,256,20,104,0,0.5,0,Aspect,6.759259259246796e-06,0.0002221785673947692
