gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
32,300,64,20,100,3,random_flip,1,0.03125,[ 9 11  6],"[20.79441542 21.4875626  19.40812106 18.02182669 16.63553233 18.71497388
 29.11218158 20.79441542 20.79441542 22.87385696 21.4875626  24.26015132
 13.86294361 15.24923797 16.63553233 19.40812106 18.02182669 20.10126824
 20.79441542 21.4875626 ]",2,2,1.0,0,0.0,0.6666666666666667
32,300,64,20,100,3,random_flip,1,0.03125,[19  5  1],"[24.9532985  27.03274004 25.64644568 19.40812106 20.79441542 25.64644568
 22.87385696 24.26015132 21.4875626  20.79441542 22.87385696 17.32867951
 19.40812106 16.63553233 20.10126824 22.18070978 22.87385696 18.02182669
 18.02182669 29.80532876]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,5,avg,1,0.03125,[15  4  2 11  0],"[24.9532985  26.33959286 23.56700414 12.47664925 25.64644568 20.79441542
 16.63553233 17.32867951 22.18070978 20.10126824 20.79441542 23.56700414
 20.10126824 20.10126824 20.10126824 27.03274004 23.56700414 18.02182669
 19.40812106 23.56700414]",4,3,0.75,1,0.25,0.6
32,300,64,20,100,5,avg,1,0.03125,[16  7 10 17 13],"[19.40812106 22.87385696 18.71497388 13.86294361 20.79441542 19.40812106
 18.71497388 23.56700414 22.18070978 18.71497388 24.9532985  18.02182669
 17.32867951 28.4190344  15.24923797 24.26015132 26.33959286 26.33959286
 15.24923797 22.18070978]",4,4,1.0,0,0.0,0.8
32,300,64,20,100,5,avg,1,0.03125,[ 7  4 19  9 14],"[21.4875626  20.79441542 20.79441542 13.16979643 27.72588722 21.4875626
 15.24923797 27.03274004 22.18070978 28.4190344  21.4875626  18.71497388
 22.18070978 21.4875626  22.87385696 20.10126824 21.4875626  18.71497388
 18.71497388 25.64644568]",4,4,1.0,0,0.0,0.8
32,300,64,20,100,5,avg,1,0.03125,[11  9 14 16 18],"[22.18070978 24.9532985  20.10126824 16.63553233 23.56700414 22.18070978
 16.63553233 18.71497388 20.10126824 29.80532876 23.56700414 27.72588722
 21.4875626  19.40812106 24.9532985  20.10126824 29.11218158 19.40812106
 22.87385696 21.4875626 ]",3,3,1.0,0,0.0,0.6
32,300,64,20,100,5,avg,1,0.03125,[ 1  5  7 15  3],"[20.79441542 27.03274004 22.18070978 17.32867951 21.4875626  27.72588722
 20.10126824 22.18070978 22.87385696 19.40812106 23.56700414 20.10126824
 18.71497388 24.9532985  18.71497388 31.88477031 22.18070978 21.4875626
 20.79441542 22.87385696]",3,3,1.0,0,0.0,0.6
32,300,64,20,100,5,avg,1,0.03125,[13  0 16 18  4],"[24.9532985  24.26015132 17.32867951 13.86294361 25.64644568 19.40812106
 15.24923797 17.32867951 22.87385696 20.79441542 19.40812106 19.40812106
 17.32867951 22.18070978 18.71497388 23.56700414 26.33959286 19.40812106
 22.18070978 22.87385696]",4,3,0.75,1,0.25,0.6
32,300,64,20,100,5,avg,1,0.03125,[16  0  9 10 12],"[27.72588722 29.80532876 18.02182669 15.24923797 23.56700414 18.71497388
 17.32867951 20.79441542 20.10126824 27.72588722 28.4190344  22.87385696
 26.33959286 22.18070978 20.10126824 20.79441542 28.4190344  21.4875626
 18.71497388 22.18070978]",5,4,0.8,1,0.19999999999999996,0.8
32,300,64,20,100,5,avg,1,0.03125,[10 12  9 19  4],"[22.18070978 23.56700414 17.32867951 13.86294361 27.03274004 19.40812106
 16.63553233 21.4875626  22.87385696 24.26015132 25.64644568 19.40812106
 27.03274004 18.71497388 18.02182669 24.26015132 22.87385696 20.10126824
 18.02182669 27.72588722]",4,4,1.0,0,0.0,0.8
32,300,64,20,100,5,avg,1,0.03125,[ 2  9  4 17  5],"[19.40812106 19.40812106 24.9532985  14.55609079 24.26015132 27.72588722
 17.32867951 19.40812106 22.18070978 25.64644568 18.02182669 18.71497388
 21.4875626  20.79441542 20.10126824 22.18070978 20.79441542 23.56700414
 18.71497388 21.4875626 ]",4,4,1.0,0,0.0,0.8
32,300,64,20,100,5,avg,1,0.03125,[17  1 15  7 10],"[21.4875626  26.33959286 18.02182669 11.78350207 20.79441542 23.56700414
 19.40812106 23.56700414 22.18070978 20.79441542 24.9532985  17.32867951
 18.71497388 22.87385696 16.63553233 27.03274004 24.26015132 25.64644568
 15.24923797 22.18070978]",3,3,1.0,0,0.0,0.6
32,300,64,20,100,5,random,1,0.03125,[ 2  4 14 12  6],"[18.71497388 20.10126824 25.64644568 21.4875626  20.10126824 20.79441542
 24.26015132 24.26015132 20.79441542 19.40812106 20.10126824 20.10126824
 19.40812106 17.32867951 19.40812106 16.63553233 17.32867951 17.32867951
 18.71497388 27.03274004]",4,2,0.5,2,0.5,0.4
32,300,64,20,100,5,random,1,0.03125,[ 5 17 13 19  6],"[20.79441542 18.02182669 24.26015132 20.10126824 18.71497388 26.33959286
 24.9532985  21.4875626  22.87385696 15.94238515 20.10126824 14.55609079
 23.56700414 21.4875626  18.02182669 20.79441542 21.4875626  22.18070978
 16.63553233 22.87385696]",3,2,0.6666666666666666,1,0.33333333333333337,0.4
