gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
8,300,256,20,100,5,avg,1,0.125,[11 15  0  4 18],"[151.10608536 137.93628893 137.24314175 141.40202483 151.79923254
 135.16370021 135.85684739 146.94720228 137.93628893 141.40202483
 137.24314175 148.33349664 135.85684739 136.54999457 140.01573047
 144.86776074 135.85684739 140.70887765 148.33349664 135.85684739]",5,4,0.8,1,0.1999999999999999,0.8
8,300,256,20,100,5,avg,1,0.125,[19 17 15 18  4],"[143.48146638 134.47055303 135.16370021 143.48146638 151.10608536
 131.69796431 133.77740585 143.48146638 140.01573047 137.93628893
 136.54999457 136.54999457 135.16370021 137.24314175 136.54999457
 140.01573047 136.54999457 149.719791   147.64034946 144.86776074]",3,3,1.0,0,0.0,0.6
8,300,256,20,100,5,avg,1,0.125,[ 0  9 10  8  1],"[146.94720228 149.719791   133.77740585 142.09517201 135.85684739
 133.77740585 132.39111149 144.86776074 147.64034946 154.57182126
 151.10608536 133.77740585 136.54999457 142.09517201 139.32258329
 132.39111149 135.85684739 138.62943611 136.54999457 134.47055303]",5,5,1.0,0,0.0,1.0
8,300,256,20,100,5,avg,1,0.125,[ 9 17 13 11  3],"[144.17461356 138.62943611 135.85684739 142.7883192  138.62943611
 136.54999457 132.39111149 144.17461356 142.7883192  149.719791
 140.70887765 146.2540551  137.24314175 149.719791   140.70887765
 131.69796431 137.24314175 148.33349664 129.61852276 133.77740585]",4,4,1.0,0,0.0,0.8
8,300,256,20,100,5,avg,1,0.125,[ 4  2  5 18 11],"[142.7883192  137.24314175 146.2540551  143.48146638 146.94720228
 148.33349664 135.16370021 142.7883192  145.56090792 139.32258329
 138.62943611 150.41293818 137.93628893 137.24314175 143.48146638
 134.47055303 139.32258329 142.09517201 146.2540551  135.85684739]",5,5,1.0,0,0.0,1.0
8,300,256,20,100,5,avg,1,0.125,[ 9  4 19 16 10],"[140.01573047 136.54999457 131.69796431 140.01573047 146.2540551
 135.16370021 128.92537558 142.7883192  140.01573047 153.87867408
 153.1855269  131.69796431 138.62943611 137.93628893 140.01573047
 128.92537558 149.02664382 138.62943611 136.54999457 142.09517201]",3,3,1.0,0,0.0,0.6
8,300,256,20,100,10,avg,1,0.125,[15 12  0 16  9  1 14 13 11  5],"[148.33349664 139.32258329 142.09517201 139.32258329 137.93628893
 140.70887765 135.16370021 145.56090792 141.40202483 146.2540551
 137.24314175 143.48146638 141.40202483 149.02664382 143.48146638
 138.62943611 139.32258329 142.09517201 133.08425867 136.54999457]",4,3,0.75,1,0.25,0.3
8,300,256,20,100,10,avg,1,0.125,[10  5 19 13 11  1 12 14  0  2],"[145.56090792 143.48146638 145.56090792 140.70887765 140.01573047
 141.40202483 134.47055303 149.02664382 144.86776074 141.40202483
 144.17461356 142.09517201 140.70887765 151.10608536 149.02664382
 137.24314175 134.47055303 139.32258329 132.39111149 142.09517201]",3,2,0.6666666666666666,1,0.3333333333333333,0.1999999999999999
8,300,256,20,100,10,avg,1,0.125,[17  7 12 13  4 10  9 19  8 11],"[144.86776074 140.70887765 138.62943611 140.01573047 139.32258329
 135.85684739 135.16370021 153.87867408 151.10608536 144.17461356
 142.7883192  144.17461356 142.09517201 147.64034946 144.17461356
 135.16370021 140.01573047 146.2540551  134.47055303 139.32258329]",3,3,1.0,0,0.0,0.3
8,300,256,20,100,10,avg,1,0.125,[ 1 12 11  9  6 18 16  8  4 17],"[142.09517201 143.48146638 133.08425867 139.32258329 140.01573047
 133.77740585 144.86776074 146.2540551  146.2540551  146.94720228
 138.62943611 144.17461356 142.09517201 134.47055303 137.24314175
 135.85684739 146.2540551  144.86776074 142.09517201 134.47055303]",4,3,0.75,1,0.25,0.3
